,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
244342,283124,20201009,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers we know, and we’re proud to work with them. Get to know our foundry partners and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.28923395445134575,0.5743788819875776,Positive,Subjective
254552,294987,20201016,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.266017316017316,0.5550324675324675,Positive,Subjective
262941,304895,20201023,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.266017316017316,0.5550324675324675,Positive,Subjective
273387,316948,20201030,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog Game ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.23706004140786746,0.5482919254658385,Positive,Subjective
286061,331343,20201106,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog Game ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.23706004140786746,0.5482919254658385,Positive,Subjective
294466,341358,20201113,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog Game ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.23706004140786746,0.5482919254658385,Positive,Subjective
302121,350483,20201120,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog Game ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.23706004140786746,0.5482919254658385,Positive,Subjective
312242,361889,20201127,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog Game ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.23706004140786746,0.5482919254658385,Positive,Subjective
322679,373581,20201204,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog Game ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies © 2020 Adobe. All rights reserved.",0.2478354978354978,0.5732142857142857,Positive,Subjective
332314,384435,20201211,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog Game ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies © 2020 Adobe. All rights reserved.",0.2478354978354978,0.5732142857142857,Positive,Subjective
341484,394844,20201218,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog Game ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies © 2020 Adobe. All rights reserved.",0.2478354978354978,0.5732142857142857,Positive,Subjective
349177,404118,20201225,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies © 2020 Adobe. All rights reserved.",0.2786848072562358,0.5814625850340136,Positive,Subjective
356603,413238,20210101,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies © 2021 Adobe. All rights reserved.",0.2786848072562358,0.5814625850340136,Positive,Subjective
364208,422476,20210108,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies © 2021 Adobe. All rights reserved.",0.2786848072562358,0.5814625850340136,Positive,Subjective
372164,431929,20210115,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies © 2021 Adobe. All rights reserved.",0.2786848072562358,0.5814625850340136,Positive,Subjective
379755,441094,20210122,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Foundries adobe-fonts-logo--white cc_logo_signin_adobe_font Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers. Get to know them and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy Cookies © 2021 Adobe. All rights reserved.",0.2786848072562358,0.5814625850340136,Positive,Subjective
